record_id,redcap_survey_identifier,kwtrp_survey_timestamp,designation,other,education_level,proficiency_level,mooc_use,mooc_experience,learning_preference,prefer_online_learning___1,prefer_online_learning___2,prefer_online_learning___3,prefer_online_learning___4,prefer_online_learning___5,prefer_online_learning___6,prefer_face_to_face___1,prefer_face_to_face___2,prefer_face_to_face___3,prefer_face_to_face___4,software___1,software___2,software___3,software___4,software___5,software___6,other_software,primary_software,other_primary_software,topics___1,topics___2,topics___3,topics___4,topics___5,topics___6,topics___7,topics___8,topics___9,topics___10,other_topics,idea,kwtrp_survey_complete
"1","","2014-04-17 16:23:11",7,"",3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,"BMDP, Minitab, MlWin",1,"",1,1,1,1,0,0,0,1,0,0,"",1,2
"2","","2014-04-17 17:09:57",1,"",1,2,2,,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,"",1,"",1,1,0,1,1,0,0,0,0,0,"",1,2
"3","","2014-04-17 17:10:44",1,"",1,3,2,,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,"Instat",1,"",1,1,1,0,0,0,1,1,0,0,"",1,2
"4","","2014-04-17 17:12:52",7,"",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"",2,"",1,0,1,1,0,0,1,1,0,0,"",1,2
"5","","2014-04-17 17:36:42",1,"",1,4,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ArcGIS 10.1",3,"Matlab",1,0,0,0,0,0,0,0,0,0,"",1,2
"6","","2014-04-22 08:16:42",1,"",1,4,2,,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"",2,"",1,1,1,0,1,1,0,0,0,0,"",1,2
"7","","2014-04-22 22:13:46",1,"",1,4,2,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"",4,"",1,1,1,1,1,1,1,1,1,0,"",1,2
"8","","2014-04-24 15:51:12",1,"",1,4,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"",1,"",1,1,1,1,0,0,0,0,0,0,"",1,2
"9","","2014-04-24 15:55:12",1,"",1,3,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"",3,"SPSS",1,1,0,1,0,1,1,1,0,0,"",1,2
"10","","2014-04-28 08:28:56",1,"",1,3,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,"",2,"",1,1,1,1,0,0,0,1,0,0,"",1,2
